loc,v(g),ev(g),iv(g),n,v,l,d,i,e,b,t,lOCode,lOComment,lOBlank,locCodeAndComment,uniq_Op,uniq_Opnd,total_Op,total_Opnd,branchCount,class
14.0,1.0,1.0,1.0,86.0,365.32,0.08,13.05,27.99,4767.45,0.12,264.86,0,6,5,0,9.0,10.0,57.0,29.0,1.0,0
19.0,2.0,1.0,1.0,57.0,261.33,0.09,10.58,24.71,2764.2,0.09,153.57,0,0,3,0,11.0,13.0,32.0,25.0,3.0,0
6.0,1.0,1.0,1.0,13.0,43.19,0.33,3.0,14.4,129.56,0.01,7.2,3,2,5,0,5.0,5.0,7.0,6.0,1.0,0
19.0,3.0,1.0,3.0,74.0,366.61,0.1,9.75,37.6,3574.45,0.12,198.58,9,7,13,0,13.0,18.0,47.0,27.0,5.0,0
27.0,4.0,3.0,3.0,95.0,521.73,0.06,18.12,28.78,9456.28,0.17,525.35,3,5,22,0,25.0,20.0,66.0,29.0,7.0,0
9.0,1.0,1.0,1.0,25.0,104.25,0.2,5.0,20.85,521.24,0.03,28.96,0,0,0,0,9.0,9.0,15.0,10.0,1.0,0
22.0,3.0,1.0,3.0,81.0,439.53,0.09,11.08,39.66,4871.43,0.15,270.63,3,11,10,0,19.0,24.0,53.0,28.0,5.0,1
16.0,2.0,1.0,2.0,42.0,192.57,0.11,9.1,21.16,1752.37,0.06,97.35,0,13,5,0,14.0,10.0,29.0,13.0,3.0,0
15.0,1.0,1.0,1.0,46.0,179.72,0.19,5.25,34.23,943.51,0.06,52.42,0,0,5,0,5.0,10.0,25.0,21.0,1.0,0
12.0,1.0,1.0,1.0,37.0,159.91,0.11,9.0,17.77,1439.2,0.05,79.96,0,1,7,0,12.0,8.0,25.0,12.0,1.0,1
5.0,1.0,1.0,1.0,27.0,105.49,0.16,6.29,16.78,663.06,0.04,36.84,4,5,2,0,8.0,7.0,16.0,11.0,1.0,0
20.0,5.0,4.0,2.0,127.0,671.25,0.04,23.16,28.99,15544.65,0.22,863.59,1,5,3,0,20.0,19.0,83.0,44.0,9.0,0
4.0,1.0,1.0,1.0,5.0,11.61,0.5,2.0,5.8,23.22,0.0,1.29,2,0,3,0,4.0,1.0,4.0,1.0,1.0,0
130.0,29.0,7.0,27.0,729.0,5103.0,0.02,55.88,91.32,285170.84,1.7,15842.82,45,13,53,0,34.0,94.0,420.0,309.0,57.0,0
19.0,2.0,1.0,2.0,60.0,300.0,0.11,9.5,31.58,2850.0,0.1,158.33,0,6,0,0,16.0,16.0,41.0,19.0,3.0,0
91.0,20.0,9.0,4.0,568.0,3740.26,0.02,51.47,72.67,192513.32,1.25,10695.18,20,96,46,0,28.0,68.0,318.0,250.0,39.0,1
6.0,1.0,1.0,1.0,17.0,64.73,0.22,4.5,14.38,291.26,0.02,16.18,1,7,5,0,9.0,5.0,12.0,5.0,1.0,0
18.0,3.0,1.0,1.0,91.0,459.04,0.08,12.89,35.6,5919.2,0.15,328.84,1,11,8,0,14.0,19.0,56.0,35.0,5.0,0
32.0,4.0,1.0,4.0,117.0,574.11,0.04,22.75,25.24,13060.92,0.19,725.61,0,4,17,0,14.0,16.0,65.0,52.0,5.0,1
13.0,3.0,1.0,2.0,66.0,313.82,0.07,13.93,22.53,4371.1,0.1,242.84,4,19,13,0,13.0,14.0,36.0,30.0,5.0,0
14.0,6.0,5.0,1.0,59.0,277.33,0.06,17.6,15.76,4880.94,0.09,271.16,2,2,6,0,16.0,10.0,37.0,22.0,11.0,0
36.0,4.0,1.0,4.0,156.0,851.67,0.06,17.63,48.31,15014.65,0.28,834.15,2,13,3,0,17.0,27.0,100.0,56.0,6.0,0
25.0,6.0,1.0,6.0,182.0,1005.29,0.04,23.73,42.36,23858.84,0.34,1325.49,3,0,4,0,16.0,30.0,93.0,89.0,11.0,0
6.0,1.0,1.0,1.0,4.0,8.0,0.67,1.5,5.33,12.0,0.0,0.67,0,0,0,0,3.0,1.0,3.0,1.0,1.0,0
3.0,1.0,1.0,1.0,22.0,85.95,0.2,5.0,17.19,429.76,0.03,23.88,1,0,3,0,10.0,5.0,17.0,5.0,1.0,0
28.0,7.0,5.0,5.0,142.0,809.46,0.07,14.56,55.58,11789.43,0.27,654.97,4,18,19,0,21.0,31.0,99.0,43.0,13.0,0
9.0,1.0,1.0,1.0,21.0,84.0,0.19,5.14,16.32,432.0,0.03,24.0,0,3,5,0,9.0,7.0,13.0,8.0,1.0,0
31.0,5.0,1.0,1.0,67.0,284.61,0.05,19.94,14.28,5674.43,0.09,315.25,1,4,1,0,11.0,8.0,38.0,29.0,9.0,0
8.0,1.0,1.0,1.0,12.0,39.86,0.21,4.67,8.54,186.03,0.01,10.33,0,3,0,0,7.0,3.0,8.0,4.0,1.0,0
55.0,11.0,5.0,8.0,217.0,1311.63,0.04,26.83,48.89,35190.17,0.44,1955.01,0,8,17,0,25.0,41.0,129.0,88.0,21.0,0
66.0,9.0,4.0,7.0,342.0,2203.49,0.03,28.98,76.03,63864.99,0.73,3548.06,5,26,34,0,26.0,61.0,206.0,136.0,17.0,0
12.0,1.0,1.0,1.0,21.0,75.28,0.5,2.0,37.64,150.57,0.03,8.36,0,0,0,0,4.0,8.0,13.0,8.0,1.0,0
17.0,5.0,4.0,2.0,120.0,620.39,0.04,23.47,26.43,14560.94,0.21,808.94,1,10,4,0,19.0,17.0,78.0,42.0,9.0,0
22.0,6.0,5.0,4.0,185.0,1092.77,0.03,29.45,37.1,32187.18,0.36,1788.18,3,8,16,0,27.0,33.0,113.0,72.0,11.0,0
19.0,3.0,1.0,1.0,85.0,439.44,0.1,9.64,45.57,4237.49,0.15,235.42,2,22,12,0,15.0,21.0,58.0,27.0,5.0,1
10.0,2.0,1.0,1.0,24.0,103.73,0.2,5.0,20.75,518.63,0.03,28.81,0,0,1,0,10.0,10.0,14.0,10.0,3.0,0
7.0,2.0,1.0,1.0,27.0,105.49,0.08,12.0,8.79,1265.83,0.04,70.32,0,0,1,0,10.0,5.0,15.0,12.0,3.0,0
9.0,3.0,3.0,1.0,24.0,91.38,0.1,10.0,9.14,913.77,0.03,50.76,0,0,0,0,10.0,4.0,16.0,8.0,5.0,0
7.0,1.0,1.0,1.0,30.0,122.62,0.18,5.63,21.8,689.76,0.04,38.32,0,0,0,0,9.0,8.0,20.0,10.0,1.0,0
45.0,15.0,15.0,2.0,581.0,3190.77,0.01,95.66,33.36,305225.84,1.06,16956.99,1,16,9,0,23.0,22.0,398.0,183.0,29.0,0
6.0,1.0,1.0,1.0,10.0,30.0,0.33,3.0,10.0,90.0,0.01,5.0,0,0,2,0,6.0,2.0,8.0,2.0,1.0,0
9.0,2.0,1.0,1.0,43.0,185.84,0.07,13.5,13.77,2508.88,0.06,139.38,2,2,6,0,12.0,8.0,25.0,18.0,3.0,0
5.0,1.0,1.0,1.0,6.0,15.51,0.5,2.0,7.75,31.02,0.01,1.72,1,7,1,0,4.0,2.0,4.0,2.0,1.0,0
34.0,6.0,1.0,6.0,146.0,771.67,0.08,12.0,64.31,9260.02,0.26,514.45,4,0,10,0,12.0,27.0,92.0,54.0,11.0,0
8.0,1.0,1.0,1.0,11.0,30.88,0.38,2.67,11.58,82.35,0.01,4.57,0,0,3,0,4.0,3.0,7.0,4.0,1.0,0
127.0,30.0,8.0,5.0,690.0,4697.07,0.03,36.21,129.72,170066.5,1.57,9448.14,7,39,5,0,25.0,87.0,438.0,252.0,59.0,0
14.0,2.0,1.0,1.0,37.0,151.24,0.11,9.29,16.29,1404.34,0.05,78.02,3,0,4,0,10.0,7.0,24.0,13.0,3.0,0
130.0,20.0,9.0,10.0,607.0,4282.56,0.02,51.6,83.0,220979.91,1.43,12276.66,23,65,12,0,38.0,95.0,349.0,258.0,37.0,1
4.0,1.0,1.0,1.0,13.0,39.0,0.33,3.0,13.0,117.0,0.01,6.5,0,0,0,0,4.0,4.0,7.0,6.0,1.0,0
33.0,2.0,1.0,2.0,135.0,745.68,0.09,11.65,64.01,8684.99,0.25,482.5,2,0,19,0,12.0,34.0,69.0,66.0,3.0,0
8.0,1.0,1.0,1.0,39.0,162.63,0.12,8.13,20.02,1321.34,0.05,73.41,5,0,5,0,10.0,8.0,26.0,13.0,1.0,0
31.0,5.0,5.0,5.0,140.0,809.39,0.07,14.84,54.55,12009.6,0.27,667.2,10,9,23,0,18.0,37.0,79.0,61.0,9.0,0
52.0,14.0,1.0,14.0,142.0,842.16,0.04,23.03,36.57,19394.56,0.28,1077.48,1,0,1,0,27.0,34.0,84.0,58.0,18.0,0
6.0,1.0,1.0,1.0,6.0,15.51,0.5,2.0,7.75,31.02,0.01,1.72,0,0,0,0,4.0,2.0,4.0,2.0,1.0,0
6.0,1.0,1.0,1.0,6.0,15.51,0.5,2.0,7.75,31.02,0.01,1.72,0,0,0,0,4.0,2.0,4.0,2.0,1.0,0
8.0,1.0,1.0,1.0,33.0,134.89,0.16,6.19,21.8,834.61,0.04,46.37,0,2,6,0,9.0,8.0,22.0,11.0,1.0,0
3.0,1.0,1.0,1.0,5.0,11.61,0.5,2.0,5.8,23.22,0.0,1.29,0,0,1,0,4.0,1.0,4.0,1.0,1.0,0
49.0,13.0,8.0,6.0,384.0,2312.59,0.02,55.62,41.58,128629.96,0.77,7146.11,0,22,15,0,28.0,37.0,237.0,147.0,25.0,0
16.0,4.0,1.0,1.0,77.0,370.17,0.05,19.62,18.87,7260.95,0.12,403.39,11,30,7,0,15.0,13.0,43.0,34.0,7.0,0
7.0,2.0,1.0,2.0,25.0,102.19,0.16,6.19,16.52,632.28,0.03,35.13,0,2,2,0,9.0,8.0,14.0,11.0,3.0,0
15.0,3.0,1.0,3.0,52.0,260.0,0.14,7.18,36.19,1867.89,0.09,103.77,2,24,16,0,13.0,19.0,31.0,21.0,5.0,0
3.0,1.0,1.0,1.0,7.0,19.65,0.4,2.5,7.86,49.13,0.01,2.73,0,0,0,0,5.0,2.0,5.0,2.0,1.0,0
24.0,9.0,1.0,8.0,74.0,355.74,0.09,11.65,30.54,4143.37,0.12,230.19,0,0,9,0,11.0,17.0,38.0,36.0,17.0,0
3.0,1.0,1.0,1.0,12.0,39.86,0.29,3.5,11.39,139.52,0.01,7.75,0,0,0,0,7.0,3.0,9.0,3.0,1.0,0
79.0,12.0,4.0,6.0,201.0,1227.81,0.07,13.73,89.42,16858.82,0.41,936.6,14,78,2,0,17.0,52.0,117.0,84.0,23.0,1
19.0,2.0,1.0,2.0,57.0,282.39,0.11,8.91,31.71,2515.03,0.09,139.72,0,3,2,0,15.0,16.0,38.0,19.0,3.0,0
49.0,16.0,10.0,3.0,399.0,2602.9,0.03,31.06,83.81,80843.05,0.87,4491.28,35,12,115,0,24.0,68.0,223.0,176.0,31.0,0
7.0,2.0,1.0,2.0,25.0,102.19,0.16,6.19,16.52,632.28,0.03,35.13,0,2,2,0,9.0,8.0,14.0,11.0,3.0,0
18.0,4.0,1.0,4.0,80.0,428.6,0.13,7.89,54.3,3382.91,0.14,187.94,2,2,12,0,13.0,28.0,46.0,34.0,7.0,0
14.0,2.0,1.0,1.0,24.0,100.08,0.13,7.86,12.74,786.33,0.03,43.68,0,1,4,0,11.0,7.0,14.0,10.0,3.0,0
3.0,1.0,1.0,1.0,7.0,19.65,0.4,2.5,7.86,49.13,0.01,2.73,0,0,0,0,5.0,2.0,5.0,2.0,1.0,0
31.0,5.0,1.0,5.0,141.0,734.53,0.06,16.56,44.36,12163.87,0.24,675.77,5,0,10,0,12.0,25.0,72.0,69.0,9.0,0
38.0,4.0,1.0,1.0,165.0,911.39,0.04,24.28,37.54,22126.47,0.3,1229.25,0,11,10,0,19.0,27.0,96.0,69.0,6.0,0
9.0,2.0,1.0,1.0,39.0,171.3,0.1,10.0,17.13,1713.0,0.06,95.17,2,5,3,0,12.0,9.0,24.0,15.0,3.0,0
6.0,1.0,1.0,1.0,9.0,27.0,0.4,2.5,10.8,67.5,0.01,3.75,0,4,0,0,5.0,3.0,6.0,3.0,1.0,0
60.0,5.0,1.0,5.0,331.0,2164.46,0.05,22.12,97.85,47876.6,0.72,2659.81,9,14,39,0,26.0,67.0,217.0,114.0,9.0,0
3.0,1.0,1.0,1.0,21.0,79.95,0.22,4.5,17.77,359.8,0.03,19.99,1,0,3,0,9.0,5.0,16.0,5.0,1.0,0
41.0,8.0,6.0,6.0,187.0,1113.43,0.07,14.8,75.22,16481.41,0.37,915.63,1,9,2,0,19.0,43.0,120.0,67.0,15.0,0
8.0,1.0,1.0,1.0,11.0,36.54,0.33,3.0,12.18,109.62,0.01,6.09,0,0,0,0,6.0,4.0,7.0,4.0,1.0,0
92.0,4.0,1.0,4.0,822.0,6234.84,0.04,26.64,234.02,166113.93,2.08,9228.55,7,46,62,0,24.0,168.0,449.0,373.0,7.0,1
29.0,10.0,10.0,8.0,118.0,640.3,0.05,20.43,31.33,13084.38,0.21,726.91,1,0,8,0,20.0,23.0,71.0,47.0,19.0,0
8.0,3.0,1.0,2.0,43.0,188.87,0.09,10.67,17.71,2014.61,0.06,111.92,7,2,6,0,12.0,9.0,27.0,16.0,5.0,0
3.0,1.0,1.0,1.0,7.0,18.09,0.4,2.5,7.24,45.24,0.01,2.51,0,0,0,0,5.0,1.0,6.0,1.0,1.0,0
18.0,2.0,1.0,2.0,72.0,372.23,0.09,11.63,32.0,4329.68,0.12,240.54,0,9,2,0,17.0,19.0,46.0,26.0,3.0,0
71.0,8.0,1.0,7.0,307.0,1993.0,0.05,21.94,90.85,43721.41,0.66,2428.97,6,39,25,0,26.0,64.0,199.0,108.0,15.0,1
106.0,13.0,1.0,11.0,421.0,2739.78,0.04,27.04,101.31,74089.87,0.91,4116.1,0,14,51,0,20.0,71.0,229.0,192.0,25.0,0
63.0,12.0,3.0,10.0,493.0,3343.21,0.02,40.22,83.12,134469.0,1.11,7470.5,30,18,74,0,31.0,79.0,288.0,205.0,23.0,0
55.0,14.0,9.0,5.0,366.0,2272.66,0.02,49.74,45.69,113051.62,0.76,6280.65,1,23,23,0,31.0,43.0,228.0,138.0,27.0,0
9.0,2.0,1.0,1.0,39.0,173.92,0.14,7.22,24.08,1256.07,0.06,69.78,2,0,3,0,13.0,9.0,29.0,10.0,3.0,0
9.0,2.0,1.0,1.0,15.0,51.89,0.23,4.38,11.86,227.03,0.02,12.61,0,8,2,0,7.0,4.0,10.0,5.0,3.0,0
176.0,23.0,15.0,17.0,696.0,5219.89,0.03,37.2,140.31,194194.61,1.74,10788.59,6,100,82,0,38.0,143.0,416.0,280.0,43.0,0
2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1.0,0.0,1.0,0.0,1.0,0
19.0,1.0,1.0,1.0,118.0,561.08,0.08,12.0,46.76,6732.92,0.19,374.05,1,3,10,0,8.0,19.0,61.0,57.0,1.0,1
21.0,4.0,1.0,3.0,87.0,472.09,0.11,9.48,49.79,4476.07,0.16,248.67,11,5,14,0,16.0,27.0,55.0,32.0,7.0,0
25.0,5.0,5.0,5.0,107.0,548.83,0.07,14.25,38.51,7820.87,0.18,434.49,12,16,13,0,15.0,20.0,69.0,38.0,9.0,0
21.0,4.0,1.0,3.0,61.0,310.34,0.1,10.26,30.24,3185.02,0.1,176.95,0,3,3,0,15.0,19.0,35.0,26.0,7.0,0
8.0,7.0,1.0,1.0,74.0,347.83,0.06,16.32,21.3,5681.26,0.12,315.63,15,2,10,0,14.0,12.0,46.0,28.0,13.0,0
12.0,2.0,1.0,2.0,23.0,94.01,0.16,6.43,14.62,604.36,0.03,33.58,0,0,7,0,10.0,7.0,14.0,9.0,3.0,0
7.0,1.0,1.0,1.0,29.0,110.41,0.21,4.88,22.65,538.26,0.04,29.9,0,0,0,0,6.0,8.0,16.0,13.0,1.0,0
22.0,4.0,4.0,3.0,98.0,531.77,0.08,12.75,41.71,6780.12,0.18,376.67,0,0,0,0,17.0,26.0,59.0,39.0,7.0,0
7.0,1.0,1.0,1.0,11.0,34.87,0.5,2.0,17.43,69.74,0.01,3.87,0,0,1,0,4.0,5.0,6.0,5.0,1.0,0
15.0,4.0,3.0,1.0,52.0,249.98,0.07,14.68,17.03,3670.2,0.08,203.9,2,14,8,0,17.0,11.0,33.0,19.0,7.0,0
13.0,2.0,1.0,1.0,57.0,271.03,0.11,9.15,29.61,2480.95,0.09,137.83,6,5,8,0,14.0,13.0,40.0,17.0,3.0,0
29.0,7.0,5.0,2.0,100.0,508.75,0.04,25.33,20.08,12888.24,0.17,716.01,0,9,5,0,19.0,15.0,60.0,40.0,13.0,0
18.0,2.0,1.0,2.0,122.0,625.77,0.04,24.42,25.62,15282.02,0.21,849.0,3,18,13,0,16.0,19.0,64.0,58.0,3.0,0
10.0,2.0,1.0,2.0,37.0,162.52,0.14,7.27,22.35,1181.93,0.05,65.66,0,0,1,0,10.0,11.0,21.0,16.0,3.0,0
21.0,3.0,1.0,3.0,62.0,298.06,0.12,8.63,34.56,2570.73,0.1,142.82,0,2,2,0,12.0,16.0,39.0,23.0,5.0,0
60.0,21.0,5.0,15.0,809.0,5767.59,0.01,73.1,78.9,421634.86,1.92,23424.16,16,37,49,0,44.0,96.0,490.0,319.0,41.0,0
17.0,3.0,1.0,3.0,137.0,718.97,0.04,24.29,29.6,17460.6,0.24,970.03,4,3,9,0,17.0,21.0,77.0,60.0,5.0,0
12.0,1.0,1.0,1.0,25.0,92.51,0.38,2.67,34.69,246.7,0.03,13.71,0,0,0,0,4.0,9.0,13.0,12.0,1.0,0
3.0,1.0,1.0,1.0,5.0,11.61,0.5,2.0,5.8,23.22,0.0,1.29,0,0,1,0,4.0,1.0,4.0,1.0,1.0,0
21.0,3.0,1.0,3.0,72.0,380.55,0.1,10.43,36.48,3969.82,0.13,220.55,0,0,0,0,17.0,22.0,45.0,27.0,5.0,0
3.0,1.0,1.0,1.0,14.0,48.43,0.23,4.38,11.07,211.89,0.02,11.77,0,0,0,0,7.0,4.0,9.0,5.0,1.0,0
30.0,9.0,9.0,2.0,405.0,2183.89,0.01,76.87,28.41,167872.07,0.73,9326.23,1,12,6,0,23.0,19.0,278.0,127.0,17.0,0
29.0,19.0,1.0,8.0,216.0,1310.28,0.05,18.55,70.63,24306.94,0.44,1350.39,8,0,5,0,18.0,49.0,115.0,101.0,37.0,0
14.0,2.0,1.0,1.0,67.0,328.76,0.09,11.47,28.66,3771.09,0.11,209.5,6,13,1,0,13.0,17.0,37.0,30.0,3.0,0
6.0,1.0,1.0,1.0,10.0,31.7,0.33,3.0,10.57,95.1,0.01,5.28,0,3,0,0,6.0,3.0,7.0,3.0,1.0,0
49.0,13.0,8.0,6.0,384.0,2312.59,0.02,55.62,41.58,128629.96,0.77,7146.11,0,22,15,0,28.0,37.0,237.0,147.0,25.0,0
32.0,4.0,1.0,4.0,121.0,648.26,0.05,18.57,34.91,12037.08,0.22,668.73,3,24,13,0,19.0,22.0,78.0,43.0,7.0,1
3.0,1.0,1.0,1.0,7.0,19.65,0.5,2.0,9.83,39.3,0.01,2.18,0,0,2,0,4.0,3.0,4.0,3.0,1.0,0
8.0,1.0,1.0,1.0,46.0,191.82,0.14,7.0,27.4,1342.72,0.06,74.6,0,1,2,0,9.0,9.0,32.0,14.0,1.0,0
14.0,3.0,3.0,2.0,46.0,218.72,0.07,13.82,15.83,3022.38,0.07,167.91,3,4,12,0,16.0,11.0,27.0,19.0,5.0,0
16.0,4.0,4.0,1.0,135.0,675.0,0.04,24.37,27.7,16447.5,0.23,913.75,0,3,4,0,17.0,15.0,92.0,43.0,7.0,0
17.0,5.0,4.0,2.0,120.0,620.39,0.04,23.47,26.43,14560.94,0.21,808.94,1,10,4,0,19.0,17.0,78.0,42.0,9.0,0
20.0,1.0,1.0,1.0,99.0,507.8,0.12,8.25,61.55,4189.34,0.17,232.74,3,4,6,0,11.0,24.0,63.0,36.0,1.0,0
6.0,1.0,1.0,1.0,9.0,27.0,0.33,3.0,9.0,81.0,0.01,4.5,0,0,0,0,6.0,2.0,7.0,2.0,1.0,0
74.0,11.0,11.0,9.0,354.0,2274.9,0.03,36.74,61.92,83581.43,0.76,4643.41,7,28,31,0,32.0,54.0,230.0,124.0,21.0,1
4.0,1.0,1.0,1.0,13.0,39.0,0.33,3.0,13.0,117.0,0.01,6.5,0,0,0,0,4.0,4.0,7.0,6.0,1.0,0
65.0,13.0,3.0,10.0,520.0,3559.65,0.02,43.66,81.52,155431.03,1.19,8635.06,30,19,40,0,33.0,82.0,303.0,217.0,25.0,0
93.0,17.0,7.0,6.0,407.0,2692.19,0.02,48.06,56.02,129374.54,0.9,7187.47,13,55,24,0,35.0,63.0,234.0,173.0,33.0,0
89.0,24.0,9.0,19.0,402.0,2603.24,0.02,47.6,54.69,123914.45,0.87,6884.14,4,62,30,0,34.0,55.0,248.0,154.0,32.0,1
23.0,4.0,4.0,4.0,96.0,492.41,0.1,10.5,46.9,5170.32,0.16,287.24,1,5,7,0,15.0,20.0,68.0,28.0,7.0,0
7.0,1.0,1.0,1.0,10.0,33.22,0.29,3.5,9.49,116.27,0.01,6.46,0,0,2,0,7.0,3.0,7.0,3.0,1.0,0
16.0,3.0,3.0,2.0,40.0,185.75,0.13,7.64,24.32,1418.49,0.06,78.8,0,5,0,0,14.0,11.0,28.0,12.0,5.0,0
7.0,1.0,1.0,1.0,29.0,110.41,0.21,4.88,22.65,538.26,0.04,29.9,0,0,0,0,6.0,8.0,16.0,13.0,1.0,0
6.0,1.0,1.0,1.0,11.0,36.54,0.33,3.0,12.18,109.62,0.01,6.09,0,0,0,0,6.0,4.0,7.0,4.0,1.0,0
9.0,1.0,1.0,1.0,44.0,183.48,0.14,7.0,26.21,1284.34,0.06,71.35,1,5,5,0,9.0,9.0,30.0,14.0,1.0,0
8.0,1.0,1.0,1.0,11.0,36.54,0.29,3.5,10.44,127.89,0.01,7.11,0,0,0,0,7.0,3.0,8.0,3.0,1.0,0
13.0,2.0,1.0,1.0,20.0,74.01,0.29,3.5,21.15,259.02,0.02,14.39,0,0,0,0,7.0,6.0,14.0,6.0,3.0,0
6.0,1.0,1.0,1.0,8.0,22.46,0.5,2.0,11.23,44.92,0.01,2.5,0,0,0,0,4.0,3.0,5.0,3.0,1.0,0
11.0,3.0,1.0,1.0,49.0,215.22,0.07,14.67,14.67,3156.61,0.07,175.37,0,0,1,0,12.0,9.0,27.0,22.0,5.0,0
29.0,7.0,5.0,2.0,100.0,508.75,0.04,25.33,20.08,12888.24,0.17,716.01,0,9,5,0,19.0,15.0,60.0,40.0,13.0,0
62.0,13.0,9.0,10.0,271.0,1655.41,0.05,20.34,81.37,33677.25,0.55,1870.96,5,8,16,0,21.0,48.0,178.0,93.0,25.0,0
8.0,2.0,1.0,1.0,14.0,48.43,0.23,4.38,11.07,211.89,0.02,11.77,0,10,4,0,7.0,4.0,9.0,5.0,3.0,0
45.0,12.0,5.0,8.0,288.0,1810.2,0.04,26.32,68.78,47644.35,0.6,2646.91,21,29,36,0,28.0,50.0,194.0,94.0,23.0,0
20.0,3.0,1.0,3.0,89.0,452.78,0.09,11.56,39.18,5232.17,0.15,290.68,0,3,5,0,16.0,18.0,63.0,26.0,5.0,0
24.0,5.0,1.0,3.0,197.0,1075.51,0.03,39.72,27.08,42716.37,0.36,2373.13,2,20,14,0,21.0,23.0,110.0,87.0,9.0,0
4.0,1.0,1.0,1.0,5.0,11.61,0.67,1.5,7.74,17.41,0.0,0.97,0,3,1,0,3.0,2.0,3.0,2.0,1.0,0
3.0,1.0,1.0,1.0,7.0,19.65,0.4,2.5,7.86,49.13,0.01,2.73,0,0,0,0,5.0,2.0,5.0,2.0,1.0,0
37.0,5.0,1.0,3.0,93.0,494.94,0.06,16.0,30.93,7919.03,0.16,439.95,2,28,12,0,20.0,20.0,61.0,32.0,9.0,0
10.0,2.0,1.0,1.0,23.0,87.57,0.19,5.4,16.21,472.87,0.03,26.27,1,6,6,0,9.0,5.0,17.0,6.0,3.0,0
6.0,1.0,1.0,1.0,15.0,55.51,0.25,4.0,13.88,222.03,0.02,12.33,1,1,2,0,8.0,5.0,10.0,5.0,1.0,0
71.0,10.0,8.0,9.0,211.0,1251.39,0.04,27.11,46.15,33930.43,0.42,1885.02,6,45,30,0,26.0,35.0,138.0,73.0,19.0,1
7.0,1.0,1.0,1.0,13.0,39.0,0.33,3.0,13.0,117.0,0.01,6.5,0,0,0,0,4.0,4.0,7.0,6.0,1.0,0
32.0,4.0,1.0,3.0,130.0,744.63,0.06,16.36,45.51,12184.85,0.25,676.94,9,31,22,0,20.0,33.0,76.0,54.0,7.0,0
4.0,1.0,1.0,1.0,13.0,39.0,0.33,3.0,13.0,117.0,0.01,6.5,0,0,0,0,4.0,4.0,7.0,6.0,1.0,0
32.0,3.0,1.0,1.0,538.0,3124.36,0.02,53.2,58.73,166215.79,1.04,9234.21,3,13,22,0,16.0,40.0,272.0,266.0,5.0,0
20.0,5.0,1.0,1.0,63.0,288.85,0.05,21.0,13.75,6065.91,0.1,336.99,0,0,4,0,16.0,8.0,42.0,21.0,9.0,0
160.0,32.0,7.0,20.0,488.0,3442.98,0.04,22.73,151.5,78244.98,1.15,4346.94,12,33,22,0,29.0,104.0,325.0,163.0,58.0,0
3.0,1.0,1.0,1.0,21.0,79.95,0.22,4.5,17.77,359.8,0.03,19.99,1,0,3,0,9.0,5.0,16.0,5.0,1.0,0
20.0,4.0,1.0,4.0,97.0,526.35,0.09,11.12,47.35,5850.56,0.18,325.03,3,12,14,0,17.0,26.0,63.0,34.0,7.0,0
76.0,13.0,7.0,10.0,298.0,1948.67,0.03,32.21,60.5,62767.66,0.65,3487.09,3,48,27,0,36.0,57.0,196.0,102.0,24.0,0
21.0,2.0,1.0,2.0,105.0,525.0,0.04,23.0,22.83,12075.0,0.18,670.83,6,6,3,0,16.0,16.0,59.0,46.0,3.0,0
9.0,1.0,1.0,1.0,25.0,92.51,0.38,2.67,34.69,246.7,0.03,13.71,0,0,0,0,4.0,9.0,13.0,12.0,1.0,0
7.0,1.0,1.0,1.0,8.0,24.0,0.5,2.0,12.0,48.0,0.01,2.67,0,0,1,0,4.0,4.0,4.0,4.0,1.0,0
28.0,3.0,1.0,3.0,103.0,551.83,0.09,11.69,47.22,6449.49,0.18,358.3,0,11,1,0,17.0,24.0,70.0,33.0,5.0,0
44.0,7.0,1.0,7.0,269.0,1746.31,0.05,22.12,78.96,38620.28,0.58,2145.57,6,14,36,0,25.0,65.0,154.0,115.0,13.0,1
9.0,2.0,1.0,1.0,40.0,178.38,0.14,7.22,24.7,1288.28,0.06,71.57,2,1,3,0,13.0,9.0,30.0,10.0,3.0,0
9.0,1.0,1.0,1.0,81.0,366.41,0.05,20.22,18.12,7409.59,0.12,411.64,0,2,3,0,14.0,9.0,55.0,26.0,1.0,0
149.0,20.0,1.0,18.0,702.0,5081.36,0.03,29.58,171.78,150305.78,1.69,8350.32,0,62,10,0,32.0,119.0,482.0,220.0,37.0,1
11.0,2.0,1.0,1.0,48.0,207.45,0.08,12.0,17.29,2489.43,0.07,138.3,2,2,3,0,12.0,8.0,32.0,16.0,3.0,0
31.0,7.0,1.0,5.0,126.0,618.27,0.04,23.5,26.31,14529.3,0.21,807.18,2,30,21,0,15.0,15.0,79.0,47.0,13.0,0
7.0,2.0,1.0,1.0,27.0,105.49,0.08,12.0,8.79,1265.83,0.04,70.32,0,0,1,0,10.0,5.0,15.0,12.0,3.0,0
10.0,1.0,1.0,1.0,32.0,125.02,0.16,6.13,20.41,765.75,0.04,42.54,0,2,5,0,7.0,8.0,18.0,14.0,1.0,0
